./tester -m -v 0 -n 1000000 -N 1000000 -t 10 -e 0.01 -h 100.0 -i 1 -M -f major -r 1 -R 1
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.564130,0.019310,5.378350,TIME-OUT,0.015333
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.580660,0.018594,5.398380,TIME-OUT,0.017670
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.565850,0.025138,5.387930,TIME-OUT,0.013952
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.570270,0.018350,5.379730,TIME-OUT,0.014474
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.593780,0.022788,5.392130,TIME-OUT,0.015320
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.573210,0.018865,5.387060,TIME-OUT,0.015333
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.575880,0.023375,5.386080,TIME-OUT,0.018382
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.570980,0.018256,5.375380,TIME-OUT,0.013957
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.574270,0.017277,5.382760,TIME-OUT,0.013965
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.564890,0.018955,5.378280,TIME-OUT,0.015320
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.575870,0.016415,5.388650,TIME-OUT,0.016387
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.597490,0.018302,5.403740,TIME-OUT,0.016426
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.581860,0.016895,5.382370,TIME-OUT,0.015484
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.514640,0.018921,5.399730,TIME-OUT,0.014867
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.554500,0.018860,5.427980,TIME-OUT,0.015867
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.572120,0.021722,5.383070,TIME-OUT,0.017627
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.571730,0.020286,5.386130,TIME-OUT,0.019118
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.564930,0.018664,5.374290,TIME-OUT,0.016403
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.623610,0.018914,5.380920,TIME-OUT,0.015881
mpi/major,1
N,split,join_zero,join,split_msg,split_zero
1000000,4.577960,0.022232,5.386220,TIME-OUT,0.014403
